crn,date,julian,n,mean,stdDev,stdErr
177,12506,6325,14,124.17,11.77,3.14
178,21506,6346,18,98.91,20.45,4.82
179,31006,6369,19,60.58,18,4.13
180,40206,6392,17,32.54,11.04,2.68
181,52706,6447,18,39.89,17.23,4.06
182,61406,6465,16,30.53,6.08,1.52
183,71306,6494,16,56.32,8.19,2.05
184,80906,6521,16,39.35,5.72,1.43
185,91606,6559,17,51.05,6.35,1.54
186,102106,6594,30,49.59,7.06,1.29
187,110906,6613,16,63.22,11.97,2.99
188,121006,6644,16,89.08,4.33,1.08
189,20707,6703,17,107.04,16.37,3.97
190,32107,6745,17,55.15,11.52,2.79
191,50507,6790,17,55.37,7.94,1.93
192,61007,6826,6,32.85,3.74,1.53
193,70807,6854,14,51.47,9.24,2.47
194,80407,6881,16,46.46,18.73,4.68
195,90307,6911,17,50.25,7.38,1.79
196,100307,6941,16,79.99,4.52,1.13
197,120207,7001,16,74.78,15.01,3.75
198,122107,7020,17,105.37,6.96,1.69
199,13008,7060,16,110.9,7.73,1.93
200,22408,7085,17,53.16,26.3,6.38
201,52808,7179,16,15.83,6.09,1.52
202,62608,7208,16,59.14,6.5,1.63
203,72708,7239,18,37.66,6.58,1.55
204,81708,7260,16,49.08,8.39,2.1
205,101108,7315,17,61.27,6.75,1.64
206,120108,7366,16,77.75,13.32,3.33
208,12109,7417,15,110.19,14.15,3.65
209,21809,7445,16,100.11,19.81,4.95
210,42909,7515,16,54.68,12.33,3.08
211,52809,7544,16,13.24,6.8,1.7
212,70409,7581,18,39.01,6.46,1.52
213,72509,7602,16,49.15,8.92,2.23
214,81909,7627,16,47.36,6.51,1.63
215,92509,7664,17,36.77,5.22,1.27
216,110409,7704,16,54.78,7.94,1.98
217,121009,7740,17,75.34,7.19,1.74
219,31010,7830,14,91.27,7.16,1.91
220,40710,7858,17,79.67,9.8,2.38
221,51910,7900,17,36.24,7.55,1.83
222,60910,7921,18,40.33,8.25,1.94
223,70910,7951,18,27.29,8.12,1.91
224,80810,7981,17,59.24,21.62,5.24
225,90410,8008,17,62.99,4.13,1
226,100410,8038,17,77.28,6.66,1.61
227,112110,8086,10,94.53,9.51,3.01
228,10911,8135,3,103.91,3.16,1.82
229,12911,8155,16,53.67,13.69,3.42
230,30111,8186,18,40.33,18.01,4.25
231,41211,8228,16,81.11,6.8,1.7
232,51011,8256,16,54.43,8.41,2.1
233,72011,8327,18,77.75,9.11,2.15
234,83011,8368,15,47.86,9.58,2.47
235,92711,8396,10,35.23,13.24,4.19
236,110511,8435,16,57.08,8.73,2.18
237,112911,8459,15,108.49,9.89,2.55
238,122011,8480,15,117.56,10.7,2.76
239,11912,8510,16,98.15,26.85,6.71
240,32512,8576,11,63.95,15.95,4.81
241,50212,8614,15,114.15,8.7,2.25
242,53112,8643,15,36.48,5.77,1.49
243,62712,8670,14,73.03,7.82,2.09
244,80112,8705,16,50.82,8.28,2.07
245,81812,8722,15,34.26,5.54,1.43
246,91512,8750,15,59.31,7.29,1.88
247,100812,8773,16,59.88,8.11,2.03
248,120412,8830,15,92.03,11.01,2.84
249,21313,8901,15,111.02,37.46,9.67
250,30713,8923,16,125.65,44.95,11.24
251,40613,8953,15,77.02,27.99,7.23
252,51813,8995,16,38.93,9.85,2.46
253,62613,9034,16,47.95,6.95,1.74
254,91213,9112,15,49.95,5.39,1.39
255,100213,9132,15,56.9,9.2,2.38
256,102813,9158,15,51.45,16.42,4.24
257,112713,9188,15,69.24,14.78,3.82
258,122113,9212,15,68.98,12.17,3.14
259,11614,9238,15,94.56,8.52,2.2
260,21514,9268,14,69.4,13.97,3.73
261,30614,9287,15,29.1,15.58,4.02
262,41114,9323,15,69,11.59,2.99
263,60114,9374,14,20.77,3.72,1
264,70114,9404,15,26.64,5.92,1.53
265,91514,9480,15,32.09,13.28,3.43
266,101414,9509,15,52.74,7.41,1.91
267,112214,9548,15,83.25,7.04,1.82
268,121714,9573,14,106.9,9.53,2.55
269,22515,9643,15,37.01,14.07,3.63
270,32915,9675,10,113.51,6.91,2.19
271,42215,9699,15,31.29,14.61,3.77
272,52415,9731,16,53.02,31.07,7.77
273,62015,9758,16,39.45,7.45,1.86
274,72015,9788,16,37.31,4.37,1.09
275,81315,9812,15,36.5,4.65,1.2
277,101415,9874,15,49.58,16.04,4.14
278,111415,9905,12,73.7,10.73,3.1
279,120915,9930,14,60.67,14.52,3.88
280,11316,9965,15,85.85,12.04,3.11
281,21016,9993,15,45.11,20.27,5.23
282,30916,10021,14,104.71,8.07,2.16
283,41516,10058,15,78.92,8.72,2.25
284,52916,10102,12,30.07,11,3.17
285,71216,10146,15,59.9,15.76,4.07
286,81016,10175,14,37.22,8.42,2.25
287,101616,10242,15,63.77,7.81,2.02
288,112716,10284,14,87.71,11.14,2.98
289,12417,10342,14,82.97,5.43,1.45
290,22317,10372,15,113.87,11.43,2.95
291,32917,10406,15,29.28,5.59,1.44
292,42617,10434,15,36.99,12.78,3.3
293,52417,10462,15,50.49,4.46,1.15
294,62117,10490,16,37.23,6.33,1.58
295,80917,10539,15,54.19,8.38,2.16
296,100717,10598,14,62.59,6.51,1.74
297,110917,10631,15,74.09,8.96,2.31
298,121317,10665,14,106.19,6.43,1.72
299,11818,10701,5,29.05,14.35,6.42
300,22618,10740,15,81.1,17.72,4.58
301,41818,10791,12,43.74,9.12,2.63
302,51618,10819,10,22.98,6.95,2.2
303,62718,10861,14,41.49,7.2,1.92
304,72518,10889,15,37.83,6.86,1.77
305,91118,10937,12,30.99,7.04,2.03
306,101318,10969,15,47.03,13.38,3.46
307,111718,11004,15,64.69,6.82,1.76
308,121118,11028,1,98.37,0,0
309,11619,11064,15,57.94,6.87,1.77
310,22019,11099,11,88.75,22.34,6.74
311,50319,11171,15,39.3,9.98,2.58
312,61219,11211,15,35.39,7.02,1.81
313,70219,11231,15,35.33,5.89,1.52
314,80319,11263,15,52.94,10.13,2.62
315,90519,11296,15,40.61,6.57,1.7
316,101819,11339,14,55.8,5.58,1.49
317,121919,11401,7,101.22,7.76,2.93
318,10820,11421,10,86.66,7.95,2.51
319,13120,11444,14,52.28,22.7,6.07
320,71620,11611,19,39.62,8.56,1.96
321,80820,11634,18,52.61,6.88,1.62
322,90120,11658,21,59.96,7.17,1.56
323,92720,11684,16,62.51,4.65,1.16
324,111920,11737,16,78.49,7.6,1.9
325,121920,11767,15,95.28,8.76,2.26
326,11321,11792,15,50.02,33.07,8.54
327,21721,11827,15,45.99,18.45,4.76
328,32421,11862,12,102.91,15.56,4.49
329,41421,11883,15,36.91,11.24,2.9
330,51721,11916,15,69.09,7.92,2.05
331,62321,11953,13,39.98,4.66,1.29
332,71721,11977,14,37.5,6.73,1.8
333,102921,12081,20,79.42,10.96,2.45
334,120521,12118,11,65.92,36.23,10.92
335,32822,12231,15,44.4,11.99,3.09
336,52722,12291,15,32.94,5.2,1.34
337,71022,12335,15,78.56,7.85,2.03
338,73122,12356,15,59.61,8.64,2.23
339,90122,12388,15,45.52,7.43,1.92